phase,fov_deg,angle_label,angle_x_deg,angle_y_deg,depth_m,I_z_raw,I_z_eff,CRLB_z_raw,CRLB_z_eff,F_z_ax,F_z_ay,F_z_a,mu_sum
lens,90.0,center,0.0,0.0,1.0,921719.625,921696.875,1.0849286127267987e-06,1.084955442820501e-06,-1875579.875,3081795.75,-3.1781382858753204e-07,99999.9921875
lens,90.0,x_neg_edge,-45.0,0.0,1.0,1524924.75,1520721.125,6.557700658049725e-07,6.575827455890249e-07,-327791.125,-35188304.0,1.3941316865384579e-06,100000.046875
lens,90.0,x_pos_edge,45.0,0.0,1.0,1545204.625,1545149.25,6.471634605986765e-07,6.471866527135717e-07,4238577.0,-1236114.125,1.155538484454155e-06,100000.0078125
lens,90.0,y_neg_edge,0.0,-45.0,1.0,1535269.25,1531659.125,6.513515700135031e-07,6.528867970700958e-07,-7677084.0,-34949840.0,7.885973900556564e-07,100000.015625
lens,90.0,y_pos_edge,0.0,45.0,1.0,1542649.875,1538682.25,6.48235243261297e-07,6.499067808363179e-07,-9573230.0,36201536.0,-1.555308699607849e-07,100000.015625
lens,90.0,corner_neg_neg,-45.0,-45.0,1.0,2469727.0,2466762.5,4.049030621899874e-07,4.053896418554359e-07,9868021.0,13650458.0,-6.48200511932373e-07,100000.015625
lens,90.0,corner_neg_pos,-45.0,45.0,1.0,2309536.75,2307874.75,4.3298726382090535e-07,4.332990783950663e-07,28046102.0,21299200.0,3.470267984084785e-07,100000.03125
lens,90.0,corner_pos_neg,45.0,-45.0,1.0,2293752.0,2293308.75,4.359669105724606e-07,4.3605118094092177e-07,-13347860.0,-6778680.0,-5.4016709327697754e-08,100000.015625
lens,90.0,corner_pos_pos,45.0,45.0,1.0,2241568.0,2239391.75,4.461163030100579e-07,4.4654981934399984e-07,-22922874.0,3941859.5,9.103678166866302e-08,100000.03125
lens,90.0,center,0.0,0.0,3.0,686921.0,686352.5625,1.4557714393959031e-06,1.4569772019967786e-06,-17764158.0,-292636.6875,-1.407461240887642e-07,100000.0
lens,90.0,x_neg_edge,-45.0,0.0,3.0,1428883.375,1422949.75,6.998471917540883e-07,7.027655328784022e-07,-42353368.0,-3846483.5,2.5029294192790985e-08,100000.0078125
lens,90.0,x_pos_edge,45.0,0.0,3.0,1355610.125,1341089.125,7.376752364507411e-07,7.456625894519675e-07,66633252.0,4375453.5,5.4424162954092026e-09,100000.0
lens,90.0,y_neg_edge,0.0,-45.0,3.0,1448010.375,1442205.125,6.906028033881739e-07,6.93382617100724e-07,-9444057.0,-40428812.0,1.932494342327118e-08,100000.0234375
lens,90.0,y_pos_edge,0.0,45.0,3.0,1449820.125,1440482.875,6.897407160977309e-07,6.942116783648089e-07,-1856301.875,53559496.0,-2.514570951461792e-08,99999.9921875
lens,90.0,corner_neg_neg,-45.0,-45.0,3.0,2219812.25,2216953.75,4.504885566802841e-07,4.5106941115591326e-07,-10854375.0,-12936571.0,-1.4528632164001465e-07,99999.984375
lens,90.0,corner_neg_pos,-45.0,45.0,3.0,2310431.25,2305204.5,4.3281963257868483e-07,4.3380100578360725e-07,-15596810.0,16566459.0,3.934837877750397e-08,100000.0
lens,90.0,corner_pos_neg,45.0,-45.0,3.0,2207248.75,2207040.0,4.530527064616763e-07,4.530955379777879e-07,510737.0,-5694865.5,-2.980232238769531e-07,99999.953125
lens,90.0,corner_pos_pos,45.0,45.0,3.0,2241574.0,2239819.5,4.461151092982618e-07,4.4646455421570863e-07,23670676.0,-8147112.5,-4.540197551250458e-09,100000.015625
lens,90.0,center,0.0,0.0,5.0,597606.375,596975.375,1.6733422398829134e-06,1.6751109797041863e-06,7954540.5,-14932235.0,1.6621197573840618e-07,100000.0
lens,90.0,x_neg_edge,-45.0,0.0,5.0,1520911.625,1517180.375,6.575003794750955e-07,6.59117404211429e-07,-37893400.0,-135644.171875,1.0506482794880867e-08,99999.9921875
lens,90.0,x_pos_edge,45.0,0.0,5.0,1481512.5,1481246.5,6.74985869864031e-07,6.751070600330422e-07,-6385052.0,-6038484.0,-4.096364136785269e-08,100000.015625
lens,90.0,y_neg_edge,0.0,-45.0,5.0,1535543.375,1530962.375,6.512352683785139e-07,6.531839176204812e-07,3660617.5,-41760724.0,7.28759914636612e-08,99999.96875
