phase,fov_deg,fov_definition,angle_label,angle_x_deg,angle_y_deg,depth_m,aperture_mm,metasurface_sensor_distance_mm,wavelength_nm,grid,grid_size_mm,dx_um,sensor_pixel_pitch_um,psf_grid,phase_max_step_rad,full_psf_sum,crop_energy_ratio,psf_sum,psf_min,psf_max,centroid_x_px,centroid_y_px,peak_x_px,peak_y_px,second_moment_radius_px
lens,90.0,per_axis_square,center,0.0,0.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,51432.9375,0.3296255317907907,0.9999999403953552,4.888485172216406e-10,0.10798913985490799,63.97902297973633,63.9790153503418,64,64,50.462852478027344
lens,90.0,per_axis_square,x_neg_edge,-45.0,0.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,25716.494140625,0.32814083404186806,1.0000003576278687,1.1182196835157754e-10,0.08363422006368637,65.22956085205078,63.987998962402344,66,64,50.19358825683594
lens,90.0,per_axis_square,x_pos_edge,45.0,0.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,25716.4921875,0.3279035203880292,1.0000001192092896,1.1191026577650476e-10,0.08369475603103638,62.52668762207031,63.98801040649414,62,64,50.166873931884766
lens,90.0,per_axis_square,y_neg_edge,0.0,-45.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,25716.490234375,0.3281409598337278,1.000000238418579,1.118025394486466e-10,0.08363420516252518,63.98798751831055,65.22955322265625,64,66,50.19358825683594
lens,90.0,per_axis_square,y_pos_edge,0.0,45.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,25716.4921875,0.3279034824138571,1.000000238418579,1.1188762416569631e-10,0.08369477093219757,63.988014221191406,62.52668762207031,64,62,50.166873931884766
lens,90.0,per_axis_square,corner_neg_neg,-45.0,-45.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,17144.330078125,0.27216140152931845,1.000000238418579,7.961405423806411e-10,0.07949282228946686,70.32142639160156,70.32142639160156,41,41,49.75688934326172
lens,90.0,per_axis_square,corner_neg_pos,-45.0,45.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,17144.330078125,0.2904026442780087,1.000000238418579,7.460210227350217e-10,0.07449960708618164,70.24610137939453,53.57750701904297,41,87,50.826560974121094
lens,90.0,per_axis_square,corner_pos_neg,45.0,-45.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,17144.330078125,0.2904026727586346,1.000000238418579,7.460812523341076e-10,0.07449958473443985,53.5775032043457,70.24609375,87,41,50.826560974121094
lens,90.0,per_axis_square,corner_pos_pos,45.0,45.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,17144.330078125,0.31244086710062785,1.000000238418579,6.934345320175339e-10,0.06924471259117126,53.16401672363281,53.16401290893555,87,87,52.1077880859375
lens,90.0,per_axis_square,center,0.0,0.0,10.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,514.3298950195312,0.3269209500045154,1.0000001192092896,1.1318506895618974e-12,0.1104736179113388,63.99600601196289,63.996002197265625,64,64,49.693115234375
